,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
248,"frozenset({'Plain Papadum', 'Pilau Rice'})",frozenset({'Onion Bhajee'}),0.133238785,0.179219228,0.03590356,0.269467787,1.503565158,0.012024608,1.123538096
170,"frozenset({'Plain Papadum', 'Mango Chutney'})",frozenset({'Onion Bhajee'}),0.113010375,0.179219228,0.030305292,0.268163804,1.49628925,0.01005166,1.121536181
112,frozenset({'Mushroom Rice'}),frozenset({'Onion Bhajee'}),0.108382474,0.179219228,0.028961708,0.267217631,1.491009829,0.009537485,1.120088046
16,frozenset({'Korma'}),frozenset({'Plain Rice'}),0.087482272,0.176830634,0.02336344,0.267064846,1.51028609,0.007893894,1.123113501
34,frozenset({'Mango Chutney'}),frozenset({'Onion Bhajee'}),0.154437561,0.179219228,0.041128611,0.266312228,1.485957901,0.01345043,1.118705808
242,"frozenset({'Pilau Rice', 'Onion Bhajee'})",frozenset({'Chicken Tikka Masala'}),0.079420766,0.15921475,0.020974845,0.264097744,1.658751749,0.008329888,1.142522997
230,"frozenset({'Pilau Rice', 'Garlic Naan'})",frozenset({'Chicken Tikka Masala'}),0.081436142,0.15921475,0.02149735,0.263978002,1.657999667,0.008531515,1.142337121
266,"frozenset({'Mint Sauce', 'Plain Papadum'})","frozenset({'Mango Chutney', 'Onion Chutney'})",0.080838994,0.043666492,0.021049489,0.260387812,5.96310344,0.017519533,1.293020211
101,frozenset({'Mushroom Rice'}),frozenset({'Chicken Tikka Masala'}),0.108382474,0.15921475,0.028065985,0.258953168,1.626439565,0.010809897,1.134591249
226,"frozenset({'Plain Papadum', 'Plain Naan'})",frozenset({'Onion Bhajee'}),0.084795103,0.179219228,0.021721281,0.256161972,1.429321923,0.006524368,1.103440186
74,frozenset({'Chicken Tikka Masala'}),frozenset({'Garlic Naan'}),0.15921475,0.19616332,0.040755393,0.255977496,1.304920289,0.009523299,1.080392967
57,frozenset({'Mint Sauce'}),frozenset({'Onion Bhajee'}),0.109203553,0.179219228,0.027916698,0.255639098,1.426404412,0.008345321,1.102665077
213,frozenset({'Chicken Tikka Masala'}),"frozenset({'Pilau Rice', 'Plain Naan'})",0.15921475,0.129133388,0.040307532,0.253164557,1.960488769,0.019747591,1.166075633
198,"frozenset({'Mint Sauce', 'Plain Papadum'})",frozenset({'Chicken Tikka Masala'}),0.080838994,0.15921475,0.02045234,0.253000923,1.589054557,0.00758158,1.125550589
77,frozenset({'Mushroom Rice'}),frozenset({'Garlic Naan'}),0.108382474,0.19616332,0.027394193,0.252754821,1.288491757,0.006133527,1.075733511
229,"frozenset({'Pilau Rice', 'Chicken Tikka Masala'})",frozenset({'Garlic Naan'}),0.085093678,0.19616332,0.02149735,0.252631579,1.287863494,0.004805092,1.075556121
50,frozenset({'Mint Sauce'}),frozenset({'Garlic Naan'}),0.109203553,0.19616332,0.027468836,0.251537936,1.282288328,0.006047105,1.073984532
191,"frozenset({'Mint Sauce', 'Plain Papadum'})",frozenset({'Garlic Naan'}),0.080838994,0.19616332,0.020303053,0.251154201,1.280332129,0.004445408,1.073434185
69,frozenset({'Mushroom Rice'}),frozenset({'Plain Naan'}),0.108382474,0.280062701,0.027170262,0.250688705,0.89511636,-0.003183626,0.960798675
109,frozenset({'Plain Papadum'}),frozenset({'Onion Bhajee'}),0.268418303,0.179219228,0.066432783,0.247497219,1.380974696,0.018327062,1.090734536
243,"frozenset({'Pilau Rice', 'Chicken Tikka Masala'})",frozenset({'Onion Bhajee'}),0.085093678,0.179219228,0.020974845,0.246491228,1.375361509,0.005724422,1.089278323
36,frozenset({'Mint Sauce'}),frozenset({'Red Sauce'}),0.109203553,0.049637979,0.026797044,0.245386193,4.943517029,0.0213764,1.259401845
159,"frozenset({'Plain Papadum', 'Mango Chutney'})",frozenset({'Chicken Tikka Masala'}),0.113010375,0.15921475,0.02754348,0.243725231,1.530795557,0.009550561,1.111745737
141,frozenset({'Mango Chutney'}),"frozenset({'Plain Papadum', 'Plain Naan'})",0.154437561,0.084795103,0.037620363,0.24359594,2.872759515,0.024524814,1.209941809
68,frozenset({'Plain Naan'}),frozenset({'Plain Rice'}),0.280062701,0.176830634,0.068149586,0.243336887,1.376101425,0.018625921,1.08789414
70,frozenset({'Meat Samosa'}),frozenset({'Plain Naan'}),0.088975144,0.280062701,0.021646637,0.243288591,0.868693296,-0.003271982,0.951402728
24,frozenset({'Saag Aloo'}),frozenset({'Mango Chutney'}),0.089124431,0.154437561,0.021571994,0.242043551,1.567258315,0.007807834,1.115581826
88,frozenset({'Mushroom Rice'}),frozenset({'Pilau Rice'}),0.108382474,0.352392327,0.026199895,0.241735537,0.685984112,-0.011993257,0.854065705
84,frozenset({'Pilau Rice'}),frozenset({'Chicken Tikka Masala'}),0.352392327,0.15921475,0.085093678,0.241474264,1.516657625,0.028987622,1.10844657
4,frozenset({'Chapati'}),frozenset({'Plain Naan'}),0.087332985,0.280062701,0.020974845,0.24017094,0.857561323,-0.003483867,0.947499033
168,frozenset({'Mango Chutney'}),"frozenset({'Plain Papadum', 'Onion Chutney'})",0.154437561,0.058296634,0.036799283,0.238279362,4.08736058,0.027796094,1.236284432
45,frozenset({'Bombay Aloo'}),frozenset({'Chicken Tikka Masala'}),0.130775547,0.15921475,0.031126372,0.238013699,1.494922419,0.010304976,1.103412553
184,"frozenset({'Pilau Rice', 'Chicken Tikka Masala'})",frozenset({'Bombay Aloo'}),0.085093678,0.130775547,0.020153766,0.236842105,1.811058039,0.009025594,1.138983766
94,frozenset({'Peshwari Naan'}),frozenset({'Chicken Tikka Masala'}),0.114577891,0.15921475,0.027095618,0.236482085,1.48530262,0.008853128,1.101199112
12,frozenset({'Keema Naan'}),frozenset({'Onion Bhajee'}),0.101664552,0.179219228,0.024035232,0.236417034,1.319149938,0.005814989,1.074907126
124,frozenset({'Mint Sauce'}),"frozenset({'Pilau Rice', 'Mango Chutney'})",0.109203553,0.073523923,0.025752034,0.235816815,3.207348089,0.01772296,1.212374329
103,frozenset({'Chicken Tikka Masala'}),frozenset({'Onion Bhajee'}),0.15921475,0.179219228,0.037097858,0.233005157,1.30011249,0.008563513,1.070125542
19,frozenset({'Bombay Aloo'}),frozenset({'Mango Chutney'}),0.130775547,0.154437561,0.030379936,0.232305936,1.504206199,0.010183279,1.10143152
48,frozenset({'Bombay Aloo'}),frozenset({'Onion Bhajee'}),0.130775547,0.179219228,0.030379936,0.232305936,1.296211006,0.006942443,1.069150864
241,frozenset({'Chicken Tikka Masala'}),"frozenset({'Plain Papadum', 'Pilau Rice'})",0.15921475,0.133238785,0.036873927,0.231598687,1.738222753,0.015660347,1.128005901
72,frozenset({'Pilau Rice'}),frozenset({'Garlic Naan'}),0.352392327,0.19616332,0.081436142,0.231095107,1.178075018,0.012309694,1.045430569
142,"frozenset({'Plain Papadum', 'Mango Chutney'})",frozenset({'Garlic Naan'}),0.113010375,0.19616332,0.026050608,0.230515192,1.17511873,0.003882118,1.04464269
117,frozenset({'Korma'}),"frozenset({'Pilau Rice', 'Plain Naan'})",0.087482272,0.129133388,0.020153766,0.230375427,1.784011324,0.008856884,1.131547305
63,frozenset({'Plain Naan'}),frozenset({'Chicken Tikka Masala'}),0.280062701,0.15921475,0.064417407,0.230010661,1.444656739,0.019827294,1.091944015
7,frozenset({'Chapati'}),frozenset({'Plain Rice'}),0.087332985,0.176830634,0.020079122,0.22991453,1.300196267,0.004635975,1.068932473
35,frozenset({'Onion Bhajee'}),frozenset({'Mango Chutney'}),0.179219228,0.154437561,0.041128611,0.229487713,1.485957901,0.01345043,1.097402928
217,"frozenset({'Pilau Rice', 'Plain Naan'})",frozenset({'Onion Bhajee'}),0.129133388,0.179219228,0.029409569,0.227745665,1.270765794,0.006266383,1.062837377
91,frozenset({'Pilau Rice'}),frozenset({'Onion Bhajee'}),0.352392327,0.179219228,0.079420766,0.22537598,1.257543523,0.016265285,1.059586006
52,frozenset({'Mint Sauce'}),frozenset({'Chicken Tikka Masala'}),0.109203553,0.15921475,0.024557737,0.224880383,1.412434359,0.00717092,1.084716774
23,frozenset({'Mango Chutney'}),frozenset({'Garlic Naan'}),0.154437561,0.19616332,0.034559976,0.223779604,1.140782097,0.004264991,1.03557789
100,frozenset({'Chicken Tikka Masala'}),frozenset({'Plain Rice'}),0.15921475,0.176830634,0.035530343,0.223159869,1.261997789,0.007376298,1.059638056
97,frozenset({'Plain Papadum'}),frozenset({'Chicken Tikka Masala'}),0.268418303,0.15921475,0.059864149,0.223025584,1.400784692,0.017127996,1.08212733
190,frozenset({'Mint Sauce'}),"frozenset({'Plain Papadum', 'Plain Naan'})",0.109203553,0.084795103,0.024333806,0.222829802,2.627861668,0.01507388,1.177611929
27,frozenset({'Peshwari Naan'}),frozenset({'Mango Chutney'}),0.114577891,0.154437561,0.025528103,0.222801303,1.442662666,0.007832973,1.08796173
232,"frozenset({'Plain Papadum', 'Pilau Rice'})",frozenset({'Garlic Naan'}),0.133238785,0.19616332,0.0296335,0.222408964,1.133794857,0.003496938,1.033752503
28,frozenset({'Mango Chutney'}),frozenset({'Chicken Tikka Masala'}),0.154437561,0.15921475,0.033962827,0.219913001,1.381235106,0.00937409,1.077809593
107,frozenset({'Plain Papadum'}),frozenset({'Onion Chutney'}),0.268418303,0.077032171,0.058296634,0.217185762,2.81941633,0.037619789,1.179038121
148,frozenset({'Plain Papadum'}),"frozenset({'Pilau Rice', 'Mango Chutney'})",0.268418303,0.073523923,0.058147346,0.216629588,2.946382331,0.03841218,1.182679436
29,frozenset({'Chicken Tikka Masala'}),frozenset({'Mango Chutney'}),0.15921475,0.154437561,0.033962827,0.21331458,1.381235106,0.00937409,1.074841885
261,frozenset({'Mint Sauce'}),"frozenset({'Plain Papadum', 'Pilau Rice', 'Mango Chutney'})",0.109203553,0.058147346,0.023214152,0.212576897,3.655831433,0.016864256,1.196120167
176,frozenset({'Mint Sauce'}),"frozenset({'Plain Papadum', 'Red Sauce'})",0.109203553,0.037844293,0.023139509,0.21189337,5.599083777,0.019006778,1.220844578
104,frozenset({'Plain Papadum'}),frozenset({'Plain Rice'}),0.268418303,0.176830634,0.056505188,0.21051168,1.190470651,0.009040609,1.042661867
135,"frozenset({'Pilau Rice', 'Plain Naan'})",frozenset({'Mango Chutney'}),0.129133388,0.154437561,0.027170262,0.210404624,1.362392823,0.007227217,1.070880688
47,frozenset({'Bombay Aloo'}),frozenset({'Plain Rice'}),0.130775547,0.176830634,0.027394193,0.209474886,1.184607449,0.00426907,1.04129439
237,frozenset({'Peshwari Naan'}),"frozenset({'Plain Papadum', 'Pilau Rice'})",0.114577891,0.133238785,0.023960588,0.209120521,1.569516875,0.008694369,1.095946018
25,frozenset({'Pilau Rice'}),frozenset({'Mango Chutney'}),0.352392327,0.154437561,0.073523923,0.208642237,1.350981173,0.019101312,1.068495791
75,frozenset({'Garlic Naan'}),frozenset({'Chicken Tikka Masala'}),0.19616332,0.15921475,0.040755393,0.207762557,1.304920289,0.009523299,1.061279365
163,"frozenset({'Plain Papadum', 'Mango Chutney'})",frozenset({'Plain Rice'}),0.113010375,0.176830634,0.023438083,0.207397622,1.172860255,0.003454387,1.03856535
133,frozenset({'Mint Sauce'}),"frozenset({'Mango Chutney', 'Onion Chutney'})",0.109203553,0.043666492,0.022617004,0.207108681,4.742965806,0.017848468,1.206134415
102,frozenset({'Onion Bhajee'}),frozenset({'Chicken Tikka Masala'}),0.179219228,0.15921475,0.037097858,0.206997085,1.30011249,0.008563513,1.06025493
180,"frozenset({'Pilau Rice', 'Plain Naan'})",frozenset({'Bombay Aloo'}),0.129133388,0.130775547,0.026722401,0.206936416,1.58237852,0.009834911,1.096033749
9,frozenset({'Keema Naan'}),frozenset({'Plain Naan'}),0.101664552,0.280062701,0.020900202,0.205580029,0.734050014,-0.007572247,0.9062427
43,frozenset({'Bombay Aloo'}),frozenset({'Garlic Naan'}),0.130775547,0.19616332,0.026871688,0.205479452,1.047491712,0.001218322,1.011725476
259,"frozenset({'Plain Papadum', 'Mango Chutney'})","frozenset({'Mint Sauce', 'Pilau Rice'})",0.113010375,0.046428305,0.023214152,0.205416116,4.424372523,0.017967272,1.200089399
181,frozenset({'Bombay Aloo'}),"frozenset({'Pilau Rice', 'Plain Naan'})",0.130775547,0.129133388,0.026722401,0.2043379,1.58237852,0.009834911,1.094518152
8,frozenset({'Keema Naan'}),frozenset({'Bombay Aloo'}),0.101664552,0.130775547,0.020750914,0.204111601,1.560778033,0.007455677,1.09214364
209,frozenset({'Mint Sauce'}),"frozenset({'Plain Papadum', 'Onion Bhajee'})",0.109203553,0.066432783,0.022019855,0.201640465,3.035255401,0.014765159,1.169356882
99,frozenset({'Plain Rice'}),frozenset({'Chicken Tikka Masala'}),0.176830634,0.15921475,0.035530343,0.200928662,1.261997789,0.007376298,1.052202989
251,frozenset({'Onion Bhajee'}),"frozenset({'Plain Papadum', 'Pilau Rice'})",0.179219228,0.133238785,0.03590356,0.200333195,1.503565158,0.012024608,1.083902957
